#i E KE PE T P
3.056348 -4.395938 1.659698 -6.055637 120.000000 0.037106
3.074221 -4.392133 1.659698 -6.051831 120.000000 0.037156
3.092094 -4.371256 1.659698 -6.030955 120.000000 0.037220
3.109968 -4.335458 1.659698 -5.995156 120.000000 0.037312
3.127841 -4.291370 1.659698 -5.951069 120.000000 0.037437
3.145714 -4.248892 1.659698 -5.908591 120.000000 0.037594
3.163588 -4.219548 1.659698 -5.879246 120.000000 0.037771
3.181461 -4.210226 1.659698 -5.869924 120.000000 0.037952
3.199335 -4.217868 1.659698 -5.877566 120.000000 0.038122
3.217208 -4.232869 1.659698 -5.892567 120.000000 0.038277
3.235081 -4.244746 1.659698 -5.904444 120.000000 0.038418
3.252955 -4.245382 1.659698 -5.905081 120.000000 0.038555
3.270828 -4.233244 1.659698 -5.892942 120.000000 0.038697
3.288701 -4.217173 1.659698 -5.876871 120.000000 0.038846
3.306575 -4.214380 1.659698 -5.874079 120.000000 0.038991
3.324448 -4.235970 1.659698 -5.895668 120.000000 0.039115
3.342322 -4.273821 1.659698 -5.933519 120.000000 0.039203
3.360195 -4.312164 1.659698 -5.971862 120.000000 0.039257
3.378068 -4.341458 1.659698 -6.001156 120.000000 0.039283
3.395942 -4.357963 1.659698 -6.017661 120.000000 0.039292
3.413815 -4.362486 1.659698 -6.022184 120.000000 0.039293
3.431688 -4.361788 1.659698 -6.021487 120.000000 0.039292
3.449562 -4.361253 1.659698 -6.020951 120.000000 0.039290
3.467435 -4.357741 1.659698 -6.017439 120.000000 0.039290
3.485309 -4.345359 1.659698 -6.005057 120.000000 0.039299
3.503182 -4.320958 1.659698 -5.980657 120.000000 0.039328
3.521055 -4.284184 1.659698 -5.943883 120.000000 0.039384
3.538929 -4.238084 1.659698 -5.897782 120.000000 0.039475
3.556802 -4.190816 1.659698 -5.850514 120.000000 0.039601
3.574676 -4.152056 1.659698 -5.811755 120.000000 0.039755
3.592549 -4.124811 1.659698 -5.784509 120.000000 0.039928
3.610422 -4.105684 1.659698 -5.765382 120.000000 0.040114
3.628296 -4.092987 1.659698 -5.752685 120.000000 0.040307
3.646169 -4.085911 1.659698 -5.745609 120.000000 0.040504
3.664042 -4.080071 1.659698 -5.739770 120.000000 0.040702
3.681916 -4.074811 1.659698 -5.734509 120.000000 0.040900
3.699789 -4.080375 1.659698 -5.740074 120.000000 0.041090
3.717663 -4.106020 1.659698 -5.765718 120.000000 0.041259
3.735536 -4.144630 1.659698 -5.804328 120.000000 0.041397
3.753409 -4.183506 1.659698 -5.843204 120.000000 0.041504
3.771283 -4.217811 1.659698 -5.877509 120.000000 0.041583
3.789156 -4.247573 1.659698 -5.907272 120.000000 0.041638
3.807029 -4.271378 1.659698 -5.931076 120.000000 0.041674
3.824903 -4.286427 1.659698 -5.946125 120.000000 0.041697
3.842776 -4.293022 1.659698 -5.952720 120.000000 0.041714
3.860650 -4.296261 1.659698 -5.955959 120.000000 0.041727
3.878523 -4.303007 1.659698 -5.962705 120.000000 0.041736
3.896396 -4.316888 1.659698 -5.976586 120.000000 0.041735
3.914270 -4.335453 1.659698 -5.995151 120.000000 0.041723
3.932143 -4.353162 1.659698 -6.012861 120.000000 0.041700
3.950016 -4.366930 1.659698 -6.026629 120.000000 0.041669
3.967890 -4.375616 1.659698 -6.035315 120.000000 0.041634
3.985763 -4.374547 1.659698 -6.034245 120.000000 0.041601
4.003637 -4.358326 1.659698 -6.018024 120.000000 0.041579
4.021510 -4.330694 1.659698 -5.990392 120.000000 0.041575
4.039383 -4.306182 1.659698 -5.965881 120.000000 0.041585
4.057257 -4.299118 1.659698 -5.958817 120.000000 0.041597
4.075130 -4.310130 1.659698 -5.969829 120.000000 0.041601
4.093003 -4.323733 1.659698 -5.983432 120.000000 0.041592
