#i E KE PE T dT P Cv R2
1.680097 -0.038680 0.014794 -0.053474 122.371985 0.001857 0.063308 231.703953 0.070839
1.697971 -0.038682 0.014727 -0.053409 122.295145 0.001877 0.063449 232.808230 0.071753
1.715844 -0.038701 0.015120 -0.053821 122.251518 0.001872 0.063522 232.494124 0.072666
1.733718 -0.038720 0.015703 -0.054422 122.255253 0.001853 0.063500 231.465131 0.073578
1.751591 -0.038726 0.016189 -0.054915 122.297260 0.001844 0.063401 231.015456 0.074488
1.769464 -0.038721 0.016446 -0.055167 122.358501 0.001849 0.063258 231.257543 0.075397
1.787338 -0.038714 0.016507 -0.055221 122.423274 0.001856 0.063102 231.672978 0.076303
1.805211 -0.038711 0.016458 -0.055169 122.483014 0.001860 0.062949 231.889684 0.077207
1.823085 -0.038714 0.016327 -0.055041 122.531648 0.001857 0.062813 231.704000 0.078108
1.840958 -0.038716 0.016078 -0.054794 122.560665 0.001844 0.062712 231.010681 0.079008
1.858831 -0.038712 0.015693 -0.054405 122.560479 0.001826 0.062662 230.077549 0.079906
1.876705 -0.038703 0.015229 -0.053933 122.526143 0.001819 0.062674 229.656362 0.080804
1.894578 -0.038693 0.014820 -0.053513 122.462605 0.001832 0.062738 230.365755 0.081704
1.912451 -0.038687 0.014616 -0.053304 122.385477 0.001860 0.062828 231.851791 0.082607
1.930325 -0.038689 0.014698 -0.053387 122.315609 0.001880 0.062908 232.947204 0.083514
1.948198 -0.038697 0.015033 -0.053730 122.270786 0.001879 0.062945 232.888786 0.084426
1.966072 -0.038707 0.015495 -0.054201 122.259270 0.001863 0.062927 232.045715 0.085343
1.983945 -0.038714 0.015926 -0.054640 122.277997 0.001849 0.062859 231.262276 0.086264
2.001818 -0.038717 0.016203 -0.054920 122.315595 0.001842 0.062761 230.893599 0.087191
2.019692 -0.038714 0.016285 -0.054999 122.358128 0.001838 0.062657 230.692740 0.088122
2.037565 -0.038707 0.016210 -0.054918 122.394849 0.001831 0.062568 230.330615 0.089060
2.055438 -0.038697 0.016091 -0.054788 122.422873 0.001821 0.062498 229.770075 0.090003
2.073312 -0.038691 0.016075 -0.054766 122.449360 0.001810 0.062435 229.195292 0.090954
2.091185 -0.038700 0.016234 -0.054934 122.485933 0.001804 0.062358 228.881752 0.091914
2.109059 -0.038714 0.016461 -0.055175 122.536779 0.001807 0.062260 229.074424 0.092883
2.126932 -0.038718 0.016574 -0.055292 122.594133 0.001817 0.062153 229.563845 0.093862
2.144805 -0.038712 0.016504 -0.055215 122.646007 0.001822 0.062058 229.823885 0.094851
2.162679 -0.038702 0.016334 -0.055036 122.686171 0.001819 0.061984 229.657828 0.095849
2.180552 -0.038701 0.016190 -0.054890 122.716513 0.001810 0.061928 229.225166 0.096856
2.198425 -0.038708 0.016103 -0.054810 122.740909 0.001800 0.061881 228.677204 0.097871
2.216299 -0.038716 0.015995 -0.054711 122.758172 0.001787 0.061846 228.028048 0.098894
2.234172 -0.038718 0.015769 -0.054486 122.761144 0.001773 0.061835 227.292159 0.099923
2.252046 -0.038707 0.015436 -0.054143 122.743601 0.001762 0.061858 226.731177 0.100958
2.269919 -0.038696 0.015153 -0.053849 122.709104 0.001760 0.061909 226.590013 0.101998
2.287792 -0.038696 0.015091 -0.053787 122.671370 0.001759 0.061965 226.566679 0.103040
2.305666 -0.038704 0.015271 -0.053975 122.645006 0.001752 0.061999 226.217121 0.104085
2.323539 -0.038712 0.015579 -0.054291 122.637438 0.001740 0.061998 225.570764 0.105129
2.341412 -0.038712 0.015899 -0.054611 122.648871 0.001727 0.061962 224.943476 0.106173
2.359286 -0.038707 0.016206 -0.054913 122.678181 0.001721 0.061896 224.626584 0.107213
2.377159 -0.038711 0.016526 -0.055237 122.725705 0.001727 0.061797 224.918518 0.108249
2.395033 -0.038718 0.016798 -0.055516 122.788255 0.001747 0.061674 225.946893 0.109281
2.412906 -0.038718 0.016921 -0.055639 122.856956 0.001774 0.061543 227.355965 0.110310
2.430779 -0.038715 0.016868 -0.055583 122.921638 0.001797 0.061422 228.543392 0.111338
2.448653 -0.038712 0.016672 -0.055384 122.974268 0.001808 0.061325 229.095354 0.112366
2.466526 -0.038708 0.016381 -0.055089 123.009825 0.001805 0.061262 228.963547 0.113398
2.484399 -0.038701 0.016075 -0.054776 123.027782 0.001795 0.061234 228.416642 0.114435
2.502273 -0.038696 0.015860 -0.054556 123.033587 0.001782 0.061232 227.761857 0.115479
2.520146 -0.038701 0.015800 -0.054500 123.035981 0.001770 0.061239 227.111808 0.116529
2.538020 -0.038709 0.015840 -0.054549 123.040536 0.001757 0.061246 226.478569 0.117587
2.555893 -0.038713 0.015864 -0.054578 123.046362 0.001745 0.061253 225.862235 0.118650
2.573766 -0.038710 0.015812 -0.054521 123.049274 0.001733 0.061267 225.249777 0.119719
2.591640 -0.038703 0.015714 -0.054418 123.046933 0.001722 0.061292 224.654977 0.120792
2.609513 -0.038699 0.015645 -0.054344 123.040968 0.001710 0.061324 224.091014 0.121867
2.627387 -0.038698 0.015656 -0.054354 123.035633 0.001699 0.061354 223.533353 0.122943
2.645260 -0.038701 0.015742 -0.054444 123.034903 0.001688 0.061375 222.966218 0.124020
2.663133 -0.038705 0.015855 -0.054560 123.040054 0.001677 0.061385 222.414190 0.125097
2.681007 -0.038707 0.015934 -0.054642 123.049229 0.001666 0.061388 221.895077 0.126177
2.698880 -0.038708 0.015941 -0.054650 123.058643 0.001656 0.061390 221.387545 0.127259
2.716753 -0.038708 0.015865 -0.054574 123.064064 0.001645 0.061399 220.865683 0.128344
2.734627 -0.038707 0.015717 -0.054424 123.061868 0.001635 0.061423 220.350965 0.129434
2.752500 -0.038705 0.015522 -0.054227 123.049904 0.001626 0.061466 219.925752 0.130529
2.770374 -0.038700 0.015337 -0.054037 123.028822 0.001621 0.061526 219.668893 0.131626
2.788247 -0.038696 0.015246 -0.053942 123.003508 0.001617 0.061595 219.521727 0.132726
2.806120 -0.038699 0.015317 -0.054016 122.982020 0.001613 0.061658 219.286684 0.133828
2.823994 -0.038708 0.015518 -0.054226 122.970649 0.001604 0.061703 218.878956 0.134931
2.841867 -0.038715 0.015732 -0.054447 122.969853 0.001594 0.061729 218.401000 0.136034
2.859740 -0.038716 0.015868 -0.054584 122.975665 0.001584 0.061742 217.939598 0.137136
2.877614 -0.038715 0.015903 -0.054618 122.983091 0.001575 0.061750 217.494816 0.138235
