#t E KE PE
7.399578 -5.601057 0.941253 -6.542310
7.417452 -5.601060 0.946266 -6.547326
7.435325 -5.600953 0.947480 -6.548433
7.453198 -5.600870 0.946609 -6.547479
7.471072 -5.600884 0.945146 -6.546030
7.488945 -5.600914 0.943419 -6.544333
7.506819 -5.600931 0.941292 -6.542223
7.524692 -5.600999 0.938538 -6.539537
7.542565 -5.601118 0.934237 -6.535355
7.560439 -5.601158 0.926887 -6.528046
7.578312 -5.601019 0.916039 -6.517057
7.596185 -5.600749 0.903666 -6.504415
7.614059 -5.600462 0.893617 -6.494079
7.631932 -5.600320 0.889692 -6.490012
7.649806 -5.600379 0.893694 -6.494073
7.667679 -5.600578 0.904548 -6.505126
7.685552 -5.600802 0.919109 -6.519912
7.703426 -5.600955 0.933786 -6.534741
7.721299 -5.601019 0.945850 -6.546868
7.739173 -5.600993 0.954031 -6.555024
7.757046 -5.600918 0.958511 -6.559429
7.774919 -5.600839 0.960389 -6.561228
7.792793 -5.600826 0.960701 -6.561527
7.810666 -5.600850 0.959775 -6.560625
7.828539 -5.600851 0.957461 -6.558312
7.846413 -5.600795 0.953851 -6.554646
7.864286 -5.600721 0.949692 -6.550412
7.882160 -5.600673 0.946122 -6.546795
7.900033 -5.600663 0.944053 -6.544716
7.917906 -5.600683 0.943854 -6.544536
7.935780 -5.600684 0.945533 -6.546217
7.953653 -5.600674 0.949141 -6.549816
7.971526 -5.600713 0.954670 -6.555383
7.989400 -5.600849 0.961345 -6.562194
8.007273 -5.601057 0.967034 -6.568091
8.025147 -5.601240 0.968686 -6.569925
8.043020 -5.601289 0.963828 -6.565117
8.060893 -5.601167 0.951974 -6.553141
8.078767 -5.600945 0.935033 -6.535978
8.096640 -5.600729 0.916468 -6.517197
8.114513 -5.600599 0.899827 -6.500427
8.132387 -5.600587 0.887469 -6.488056
8.150260 -5.600659 0.880083 -6.480742
8.168134 -5.600738 0.877205 -6.477943
8.186007 -5.600778 0.878119 -6.478897
8.203880 -5.600811 0.882356 -6.483167
8.221754 -5.600857 0.889510 -6.490368
8.239627 -5.600898 0.899080 -6.499977
8.257500 -5.601039 0.910275 -6.511314
8.275374 -5.601352 0.920977 -6.522328
8.293247 -5.601485 0.927884 -6.529369
8.311121 -5.601088 0.930828 -6.531916
8.328994 -5.600767 0.935409 -6.536176
8.346867 -5.601202 0.945173 -6.546375
8.364741 -5.601625 0.955079 -6.556705
8.382614 -5.601522 0.958943 -6.560465
8.400487 -5.601157 0.956569 -6.557726
8.418361 -5.600819 0.951938 -6.552757
8.436234 -5.600620 0.949354 -6.549974
8.454108 -5.600573 0.951471 -6.552044
8.471981 -5.600692 0.958632 -6.559324
8.489854 -5.600940 0.968835 -6.569776
8.507728 -5.601238 0.978288 -6.579526
8.525601 -5.601450 0.982714 -6.584164
8.543474 -5.601471 0.979210 -6.580681
8.561348 -5.601265 0.967866 -6.569130
8.579221 -5.600888 0.952233 -6.553121
8.597095 -5.600524 0.938144 -6.538668
8.614968 -5.600378 0.931001 -6.531379
8.632841 -5.600497 0.932958 -6.533454
8.650715 -5.600735 0.942237 -6.542972
8.668588 -5.600883 0.955183 -6.556066
8.686462 -5.600930 0.968843 -6.569773
8.704335 -5.600961 0.981599 -6.582560
8.722208 -5.601016 0.992314 -6.593330
8.740082 -5.601042 0.999907 -6.600948
8.757955 -5.601058 1.003683 -6.604741
8.775828 -5.601124 1.003236 -6.604360
8.793702 -5.601259 0.997701 -6.598960
8.811575 -5.601350 0.985581 -6.586931
8.829449 -5.601183 0.966422 -6.567605
8.847322 -5.600706 0.943351 -6.544057
8.865195 -5.600122 0.923632 -6.523754
8.883069 -5.599833 0.915552 -6.515386
8.900942 -5.600062 0.922978 -6.523040
8.918815 -5.600593 0.942601 -6.543194
8.936689 -5.601056 0.966652 -6.567709
8.954562 -5.601302 0.987656 -6.588958
8.972436 -5.601373 1.001008 -6.602382
8.990309 -5.601339 1.004918 -6.606257
9.008182 -5.601237 0.999565 -6.600803
9.026056 -5.601128 0.986355 -6.587483
9.043929 -5.601040 0.967116 -6.568155
9.061802 -5.601012 0.943374 -6.544386
9.079676 -5.600978 0.916216 -6.517194
9.097549 -5.600866 0.886915 -6.487780
